stat,rarity,level,value
ANEMO_DMG,1,0,3.1
ANEMO_DMG,1,1,4.3
ANEMO_DMG,1,2,5.5
ANEMO_DMG,1,3,6.7
ANEMO_DMG,1,4,7.9
ANEMO_DMG,2,0,4.2
ANEMO_DMG,2,1,5.4
ANEMO_DMG,2,2,6.6
ANEMO_DMG,2,3,7.8
ANEMO_DMG,2,4,9.0
ANEMO_DMG,3,0,5.2
ANEMO_DMG,3,1,6.7
ANEMO_DMG,3,2,8.2
ANEMO_DMG,3,3,9.7
ANEMO_DMG,3,4,11.2
ANEMO_DMG,3,5,12.7
ANEMO_DMG,3,6,14.2
ANEMO_DMG,3,7,15.6
ANEMO_DMG,3,8,17.1
ANEMO_DMG,3,9,18.6
ANEMO_DMG,3,10,20.1
ANEMO_DMG,3,11,21.6
ANEMO_DMG,3,12,23.1
ANEMO_DMG,4,0,6.3
ANEMO_DMG,4,1,8.1
ANEMO_DMG,4,2,9.9
ANEMO_DMG,4,3,11.6
ANEMO_DMG,4,4,13.4
ANEMO_DMG,4,5,15.2
ANEMO_DMG,4,6,17.0
ANEMO_DMG,4,7,18.8
ANEMO_DMG,4,8,20.6
ANEMO_DMG,4,9,22.3
ANEMO_DMG,4,10,24.1
ANEMO_DMG,4,11,25.9
ANEMO_DMG,4,12,27.7
ANEMO_DMG,4,13,29.5
ANEMO_DMG,4,14,31.3
ANEMO_DMG,4,15,33.0
ANEMO_DMG,4,16,34.8
ANEMO_DMG,5,0,7.0
ANEMO_DMG,5,1,9.0
ANEMO_DMG,5,2,11.0
ANEMO_DMG,5,3,12.9
ANEMO_DMG,5,4,14.9
ANEMO_DMG,5,5,16.9
ANEMO_DMG,5,6,18.9
ANEMO_DMG,5,7,20.9
ANEMO_DMG,5,8,22.8
ANEMO_DMG,5,9,24.8
ANEMO_DMG,5,10,26.8
ANEMO_DMG,5,11,28.8
ANEMO_DMG,5,12,30.8
ANEMO_DMG,5,13,32.8
ANEMO_DMG,5,14,34.7
ANEMO_DMG,5,15,36.7
ANEMO_DMG,5,16,38.7
ANEMO_DMG,5,17,40.7
ANEMO_DMG,5,18,42.7
