character,hp,atk,def
Aino,939.1447,20.30112,50.93025
Albedo,1029.5856,19.551,68.2062
Alhaitham,1039.1188,24.3922,60.84711
Aloy,848.4548,18.21036,52.6504
Amber,793.2582,18.6984,50.358
Arataki Itto,1000.986,17.689,74.66784
Arlecchino,1020.0524,26.6266,59.53085
Baizhu,1039.1188,14.9891,38.8895
Barbara,820.6119,13.356,56.0805
Beidou,1094.1492,18.87648,54.36375
Bennett,1039.4418,16.0272,64.66425
Candace,911.791,17.808,57.225
Charlotte,902.6731,14.51352,45.78
Chasca,762.656,26.999,47.864
Chevreuse,1002.9701,16.20528,50.70135
Chiori,890.4009,25.137,74.1892
Chongyun,920.90894,18.6984,54.36375
Citlali,905.654,9.8686,59.41119
Clorinde,1008.61255,26.2542,61.0266
Collei,820.6119,16.73952,50.358
Columbina,1143.984,7.448,40.0861
Cyno,972.3864,24.7646,66.88994
Dahlia,1048.5597,15.84912,46.9245
Dehya,1220.2496,20.6682,48.88111
Diluc,1010.5192,26.068,61.0266
Diona,802.3761,17.808,50.358
Dori,1039.4418,18.6984,60.6585
Durin,967.6198,26.999,64.0181
Emilie,1056.2786,26.068,56.8385
Escoffier,1039.1188,26.999,56.95816
Eula,1029.5856,26.6266,58.45391
Faruzan,802.3761,16.4724,52.647
Fischl,770.4634,20.4792,49.78575
Flins,972.3864,27.3714,62.94116
Freminet,1012.088,21.3696,59.39955
Furina,1191.65,18.9924,54.14615
Gaming,957.38055,25.28736,58.94175
Ganyu,762.656,26.068,49.0606
Gorou,802.3761,15.31488,54.36375
Hu Tao,1210.7164,8.2859,68.2062
Iansan,893.5552,21.54768,53.505375
Ifa,845.2303,14.95872,50.758575
Illuga,1002.9701,16.0272,68.2122
Ineffa,981.9196,25.6956,64.43691
Jahoda,808.7586,18.6984,48.64125
Jean,1143.984,18.62,59.83
Kachina,989.2932,18.16416,66.438225
Kaedehara Kazuha,1039.1188,23.0888,62.8215
Kaeya,975.6164,18.6984,66.381
Kamisato Ayaka,1000.986,26.6266,61.0266
Kamisato Ayato,1067.7184,23.275,59.83
Kaveh,1002.9701,19.5888,62.9475
Keqing,1020.0524,25.137,62.2232
Kinich,1000.986,25.8818,62.40269
Kirara,1021.20593,18.6984,45.78
Klee,800.7888,24.206,47.864
Kujou Sara,802.3761,16.38336,52.647
Kuki Shinobu,1030.3239,17.808,62.9475
Lan Yan,775.02234,21.01344,48.64125
Lauma,829.3884,19.84892,52.0521
Layla,930.0268,18.16416,54.936
Linnea,770.28253,11.172,70.5994
Lisa,802.3761,19.41072,48.069
Lohen,1000.986,26.8128,61.0266
Lynette,1039.4418,19.41072,59.685677
Lyney,857.988,24.7646,41.881
Mavuika,977.153,27.93,61.6249
Mika,1048.5597,18.6984,59.800125
Mona,810.322,22.344,50.8555
Mualani,1182.1168,14.1512,44.39386
Nahida,806.5087,23.275,49.0606
Navia,984.77954,27.3714,61.74456
Nefer,988.9742,26.8128,62.2232
Neuvillette,1143.984,16.21802,44.8725
Nicole,810.322,26.6266,43.79556
Nilou,1182.1168,17.8752,56.71884
Ningguang,820.6119,17.808,48.069
Noelle,1012.088,16.0272,66.95325
Ororon,775.02234,20.4792,49.2135
Prune,811.494,18.52032,48.64125
Qiqi,962.8532,22.344,71.796
Raiden Shogun,1004.79926,26.2542,61.44541
Razor,1002.9701,19.5888,62.9475
Rosaria,1030.3239,20.12304,59.514
Sandrone,1029.5856,26.6266,58.57357
Sangonomiya Kokomi,1048.652,18.2476,51.15465
Sayu,993.8522,20.4792,62.432476
Sethos,820.6119,19.05456,46.9245
Shenhe,1011.47253,23.6474,64.6164
Shikanoin Heizou,893.5552,18.87648,57.33945
Sigewinne,1039.1188,14.9891,38.8895
Skirk,966.6665,27.93,62.76167
Sucrose,775.02234,14.2464,58.94175
Tartaglia,1020.0524,23.4612,63.4198
Thoma,866.2015,16.9176,62.9475
Tighnari,844.64154,20.8544,49.0606
Traveler,911.791,17.808,57.225
Varesa,988.59283,27.7438,60.84711
Varka,981.9196,27.4645,61.92405
Venti,819.8552,20.482,52.0521
Wanderer,791.2556,25.5094,47.2657
Wriothesley,1058.1852,24.206,59.41119
Xiangling,911.791,18.87648,56.0805
Xianyun,810.322,26.068,44.57335
Xiao,991.4528,27.1852,62.2232
Xilonen,965.71313,21.413,72.3943
Xingqiu,857.08356,16.9176,63.51975
Xinyan,939.1447,20.83536,66.95325
Yae Miko,807.46204,26.4404,44.2742
Yanfei,784.14026,20.12304,49.2135
Yaoyao,1030.3239,17.808,62.9475
Yelan,1124.9176,18.9924,42.65879
Yoimiya,791.2556,25.137,47.864
Yumemizuki Mizuki,991.4528,16.758,58.93255
Yun Jin,893.5552,16.0272,61.5741
Zhongli,1143.984,19.551,57.4368
Zibai,1005.7526,17.5028,74.48835
