character,hp,atk,def
Aino,3360.243,72.63875,182.2275
Albedo,4228.035,80.28111,280.098
Alhaitham,4267.1836,100.16024,249.8769
Aloy,3484.214,74.77612,216.216
Amber,2838.2634,66.90411,180.18
Arataki Itto,4110.59,72.63529,306.6336
Arlecchino,4188.8867,109.33523,244.4715
Baizhu,4267.1836,61.54885,159.705
Barbara,2936.1348,47.78865,200.655
Beidou,3914.8462,67.54129,194.5125
Bennett,3719.104,57.34638,231.3675
Candace,3262.3718,63.7182,204.75
Charlotte,3229.748,51.930332,163.8
Chasca,3131.878,110.86439,196.56
Chevreuse,3588.6091,57.983562,181.4085
Chiori,3656.4673,103.21857,304.668
Chongyun,3294.9956,66.90411,194.5125
Citlali,3719.105,40.522846,243.9801
Clorinde,4141.908,107.80606,250.614
Collei,2936.1348,59.895107,180.18
Columbina,4697.817,30.58328,164.619
Cyno,3993.1443,101.68941,274.6926
Dahlia,3751.7275,56.709198,167.895
Dehya,5011.0044,84.8686,200.7369
Diluc,4149.7383,107.04148,250.614
Diona,2870.8872,63.7182,180.18
Dori,3719.104,66.90411,217.035
Durin,3973.57,110.86439,262.899
Emilie,4337.651,107.04148,233.415
Escoffier,4267.1836,110.86439,233.9064
Eula,4228.035,109.33523,240.0489
Faruzan,2870.8872,58.939335,188.37
Fischl,2756.704,73.27593,178.1325
Flins,3993.1443,112.393555,258.4764
Freminet,3621.2327,76.46184,212.5305
Furina,4893.559,77.987366,222.3585
Gaming,3425.4905,90.47984,210.8925
Ganyu,3131.878,107.04148,201.474
Gorou,2870.8872,54.797653,194.5125
Hu Tao,4971.856,34.0239,280.098
Iansan,3197.1245,77.09902,191.44125
Ifa,3024.2188,53.52329,181.61325
Illuga,3588.6091,57.34638,244.062
Ineffa,4032.2927,105.512314,264.6189
Jahoda,2893.7239,66.90411,174.0375
Jean,4697.817,76.4582,245.7
Kachina,3539.6733,64.99256,237.71475
Kaedehara Kazuha,4267.1836,94.80817,257.985
Kaeya,3490.7378,66.90411,237.51
Kamisato Ayaka,4110.59,109.33523,250.614
Kamisato Ayato,4384.629,95.57275,245.7
Kaveh,3588.6091,70.09002,225.225
Keqing,4188.8867,103.21857,255.528
Kinich,4110.59,106.2769,256.2651
Kirara,3653.8564,66.90411,163.8
Klee,3288.4717,99.39566,196.56
Kujou Sara,2870.8872,58.620743,188.37
Kuki Shinobu,3686.4802,63.7182,225.225
Lan Yan,2773.016,75.18748,174.0375
Lauma,3405.9172,81.50444,213.759
Layla,3327.6194,64.99256,196.56
Linnea,3163.1965,45.87492,289.926
Lisa,2870.8872,69.452835,171.99
Lohen,4110.59,110.09981,250.614
Lynette,3719.104,69.452835,213.55424
Lyney,3523.3625,101.68941,171.99
Mavuika,4012.7185,114.6873,253.071
Mika,3751.7275,66.90411,213.96375
Mona,3327.62,91.74984,208.845
Mualani,4854.4106,58.10823,182.3094
Nahida,3311.961,95.57275,201.474
Navia,4044.0374,112.393555,253.5624
Nefer,4061.2627,110.09981,255.528
Neuvillette,4697.817,66.59509,184.275
Nicole,3327.62,109.33523,179.8524
Nilou,4854.4106,73.39987,232.9236
Ningguang,2936.1348,63.7182,171.99
Noelle,3621.2327,57.34638,239.5575
Ororon,2773.016,73.27593,176.085
Prune,2903.511,66.26693,174.0375
Qiqi,3953.9958,91.74984,294.84
Raiden Shogun,4126.249,107.80606,252.3339
Razor,3588.6091,70.09002,225.225
Rosaria,3686.4802,72.001564,212.94
Sandrone,4228.035,109.33523,240.5403
Sangonomiya Kokomi,4306.332,74.92904,210.0735
Sayu,3555.9854,73.27593,223.38225
Sethos,2936.1348,68.178474,167.895
Shenhe,4153.653,97.10191,265.356
Shikanoin Heizou,3197.1245,67.54129,205.1595
Sigewinne,4267.1836,61.54885,159.705
Skirk,3969.6553,114.6873,257.7393
Sucrose,2773.016,50.97456,210.8925
Tartaglia,4188.8867,96.33733,260.442
Thoma,3099.2532,60.53229,225.225
Tighnari,3468.5547,85.63319,201.474
Traveler,3262.3718,63.7182,204.75
Varesa,4059.6965,113.922714,249.8769
Varka,4032.2927,112.77585,254.2995
Venti,3366.7688,84.10402,213.759
Wanderer,3249.3232,104.747734,194.103
Wriothesley,4345.4805,99.39566,243.9801
Xiangling,3262.3718,67.54129,200.655
Xianyun,3327.62,107.04148,183.0465
Xiao,4071.4412,111.628975,255.528
Xilonen,3965.7402,87.92693,297.297
Xingqiu,3066.6296,60.53229,227.2725
Xinyan,3360.243,74.55029,239.5575
Yae Miko,3315.8757,108.57064,181.818
Yanfei,2805.64,72.001564,176.085
Yaoyao,3686.4802,63.7182,225.225
Yelan,4619.52,77.987366,175.1841
Yoimiya,3249.3232,103.21857,196.56
Yumemizuki Mizuki,4071.4412,68.81238,242.0145
Yun Jin,3197.1245,57.34638,220.311
Zhongli,4697.817,80.2811,235.872
Zibai,4130.164,71.8707,305.8965
