level,1-3star_tier1,1-3star_tier2,1-3star_tier3,4star_tier1,4star_tier2,4star_tier3,4star_tier4,5star_tier1,5star_tier2,5star_tier3,5star_tier4
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.071,1.076,1.081,1.077,1.083,1.088,1.093,1.079,1.086,1.091,1.097
3,1.141,1.152,1.162,1.154,1.165,1.176,1.186,1.159,1.171,1.183,1.194
4,1.211,1.228,1.244,1.23,1.248,1.264,1.28,1.238,1.257,1.275,1.292
5,1.28,1.303,1.325,1.306,1.33,1.353,1.374,1.317,1.343,1.368,1.391
6,1.349,1.379,1.407,1.382,1.413,1.442,1.469,1.395,1.429,1.461,1.49
7,1.417,1.454,1.489,1.457,1.495,1.531,1.565,1.474,1.516,1.554,1.59
8,1.486,1.529,1.57,1.533,1.578,1.621,1.661,1.552,1.602,1.648,1.692
9,1.553,1.604,1.652,1.607,1.661,1.71,1.757,1.631,1.689,1.743,1.792
10,1.621,1.679,1.734,1.682,1.743,1.8,1.854,1.709,1.775,1.837,1.895
11,1.688,1.754,1.816,1.757,1.826,1.891,1.952,1.787,1.862,1.933,1.998
12,1.754,1.828,1.898,1.831,1.908,1.981,2.049,1.865,1.949,2.028,2.102
13,1.82,1.903,1.981,1.905,1.991,2.072,2.147,1.942,2.036,2.124,2.206
14,1.886,1.977,2.063,1.979,2.073,2.162,2.246,2.02,2.124,2.22,2.31
15,1.952,2.051,2.145,2.052,2.156,2.253,2.345,2.098,2.211,2.317,2.415
16,2.017,2.125,2.227,2.126,2.239,2.345,2.444,2.175,2.299,2.414,2.521
17,2.082,2.199,2.31,2.199,2.321,2.436,2.544,2.253,2.386,2.511,2.627
18,2.147,2.273,2.392,2.272,2.404,2.527,2.644,2.33,2.474,2.608,2.733
19,2.211,2.347,2.474,2.345,2.486,2.619,2.744,2.408,2.562,2.706,2.841
20,2.275,2.42,2.557,2.417,2.569,2.711,2.845,2.485,2.65,2.804,2.949
21,2.339,2.493,2.639,2.49,2.651,2.803,2.946,2.562,2.738,2.903,3.057
