stat,rarity,tier,value
ATK_PCT,3,1,10.213
ATK_PCT,3,2,7.66
ATK_PCT,3,3,5.107
ATK_PCT,4,1,12.0
ATK_PCT,4,2,9.0
ATK_PCT,4,3,6.0
ATK_PCT,4,4,3.0
ATK_PCT,5,1,14.4
ATK_PCT,5,2,10.8
ATK_PCT,5,3,7.2
ATK_PCT,5,4,3.6
CRIT_DMG,3,1,13.6
CRIT_DMG,3,2,10.2
CRIT_DMG,3,3,6.8
CRIT_DMG,4,1,16.0
CRIT_DMG,4,2,12.0
CRIT_DMG,4,3,8.0
CRIT_DMG,4,4,4.0
CRIT_DMG,5,1,19.2
CRIT_DMG,5,2,14.4
CRIT_DMG,5,3,9.6
CRIT_DMG,5,4,4.8
CRIT_RATE,3,1,6.8
CRIT_RATE,3,2,5.1
CRIT_RATE,3,3,3.4
CRIT_RATE,4,1,8.0
CRIT_RATE,4,2,6.0
CRIT_RATE,4,3,4.0
CRIT_RATE,4,4,2.0
CRIT_RATE,5,1,9.6
CRIT_RATE,5,2,7.2
CRIT_RATE,5,3,4.8
CRIT_RATE,5,4,2.4
DEF_PCT,3,1,12.747
DEF_PCT,3,2,9.56
DEF_PCT,3,3,6.373
DEF_PCT,4,1,15.013
DEF_PCT,4,2,11.26
DEF_PCT,4,3,7.506
DEF_PCT,4,4,3.753
DEF_PCT,5,1,18.0
DEF_PCT,5,2,13.5
DEF_PCT,5,3,9.0
DEF_PCT,5,4,4.5
ELEMENTAL_MASTERY,3,1,40.8
ELEMENTAL_MASTERY,3,2,30.6
ELEMENTAL_MASTERY,3,3,20.4
ELEMENTAL_MASTERY,4,1,48.0
ELEMENTAL_MASTERY,4,2,36.0
ELEMENTAL_MASTERY,4,3,24.0
ELEMENTAL_MASTERY,4,4,12.0
ELEMENTAL_MASTERY,5,1,57.6
ELEMENTAL_MASTERY,5,2,43.2
ELEMENTAL_MASTERY,5,3,28.8
ELEMENTAL_MASTERY,5,4,14.4
ENERGY_RECHARGE,3,1,11.333
ENERGY_RECHARGE,3,2,8.5
ENERGY_RECHARGE,3,3,5.667
ENERGY_RECHARGE,4,1,13.333
ENERGY_RECHARGE,4,2,10.0
ENERGY_RECHARGE,4,3,6.666
ENERGY_RECHARGE,4,4,3.333
ENERGY_RECHARGE,5,1,16.0
ENERGY_RECHARGE,5,2,12.0
ENERGY_RECHARGE,5,3,8.0
ENERGY_RECHARGE,5,4,4.0
HP_PCT,3,1,10.213
HP_PCT,3,2,7.66
HP_PCT,3,3,5.107
HP_PCT,4,1,12.0
HP_PCT,4,2,9.0
HP_PCT,4,3,6.0
HP_PCT,4,4,3.0
HP_PCT,5,1,14.4
HP_PCT,5,2,10.8
HP_PCT,5,3,7.2
HP_PCT,5,4,3.6
PHYSICAL_DMG,3,1,12.747
PHYSICAL_DMG,3,2,9.56
PHYSICAL_DMG,3,3,6.373
PHYSICAL_DMG,4,1,15.013
PHYSICAL_DMG,4,2,11.26
PHYSICAL_DMG,4,3,7.506
PHYSICAL_DMG,4,4,3.753
PHYSICAL_DMG,5,1,18.0
PHYSICAL_DMG,5,2,13.5
PHYSICAL_DMG,5,3,9.0
PHYSICAL_DMG,5,4,4.5
